City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,date
199,isangel,-19.55,169.2667,27.06,78,75,3.09,VU,1727750804,2024-10-01 02:46:44
200,kzyltu,53.6364,72.3414,11.54,50,23,3.01,KZ,1727750805,2024-10-01 02:46:45
201,ubari,26.5921,12.7805,24.68,47,0,4.25,LY,1727750806,2024-10-01 02:46:46
202,chinde,26.8212,87.7095,26.9,80,65,1.5,NP,1727750807,2024-10-01 02:46:47
203,roma,43.2128,-75.4557,17.04,92,0,2.06,US,1727750808,2024-10-01 02:46:48
204,strazhitsa,43.2333,25.9667,12.89,57,95,5.52,BG,1727750809,2024-10-01 02:46:49
205,el calafate,-50.3408,-72.2768,1.2,75,21,3.67,AR,1727750534,2024-10-01 02:42:14
206,al ain city,24.1917,55.7606,27.79,65,0,6.69,AE,1727750811,2024-10-01 02:46:51
207,reggane,26.7158,0.1714,32.57,20,9,5.32,DZ,1727750812,2024-10-01 02:46:52
208,grahamstown,-33.3042,26.5328,6.92,64,12,7.86,ZA,1727750813,2024-10-01 02:46:53
209,forster,-32.1667,152.5167,20.77,66,2,4.36,AU,1727750814,2024-10-01 02:46:54
210,shyshaky,49.8817,34.0112,13.21,40,71,5.11,UA,1727750815,2024-10-01 02:46:55
211,miranda,3.2499,-76.2281,20.84,91,94,1.42,CO,1727750816,2024-10-01 02:46:56
212,guiuan,11.0333,125.7247,29.45,72,93,5.49,PH,1727750817,2024-10-01 02:46:57
213,carauari,-4.8828,-66.8958,23.5,93,97,0.27,BR,1727750818,2024-10-01 02:46:58
214,glace bay,46.1969,-59.957,14.53,91,75,9.26,CA,1727750819,2024-10-01 02:46:59
215,amper,9.35,9.7,22.48,90,61,1.94,NG,1727750821,2024-10-01 02:47:01
216,mitu,1.1983,-70.1733,23.34,81,99,0.24,CO,1727750822,2024-10-01 02:47:02
217,kilimatinde,-5.85,34.95,20.62,67,30,1.55,TZ,1727750823,2024-10-01 02:47:03
218,lingyuan,41.24,119.4011,9.33,51,47,5.96,CN,1727750824,2024-10-01 02:47:04
219,la passe,45.5549,-0.8967,15.36,91,100,1.33,FR,1727750825,2024-10-01 02:47:05
220,arraial do cabo,-22.9661,-42.0278,21.98,73,20,6.17,BR,1727750826,2024-10-01 02:47:06
221,kerikeri,-35.2268,173.9474,15.9,72,100,4.28,NZ,1727750753,2024-10-01 02:45:53
222,beibei,29.8256,106.4339,17.26,87,100,1.25,CN,1727750828,2024-10-01 02:47:08
223,ndioum,16.5129,-14.6471,30.57,56,100,6.22,SN,1727750829,2024-10-01 02:47:09
224,miltenberg,49.7039,9.2644,14.11,90,98,1.79,DE,1727750830,2024-10-01 02:47:10
225,pochaiv,50.0051,25.5118,5.51,96,100,4.28,UA,1727750831,2024-10-01 02:47:11
226,skovorodino,53.9833,123.9167,8.08,37,34,2.33,RU,1727750832,2024-10-01 02:47:12
227,queimados,-22.7161,-43.5553,22.77,73,0,1.94,BR,1727750403,2024-10-01 02:40:03
228,port hedland,-20.3167,118.5667,33.03,31,2,7.2,AU,1727750834,2024-10-01 02:47:14
229,oum hadjer,13.2954,19.6966,28.56,59,99,3.74,TD,1727750835,2024-10-01 02:47:15
230,al jawf,29.5,38.75,19.22,58,0,3.5,SA,1727750836,2024-10-01 02:47:16
231,pekalongan,-6.8886,109.6753,31.04,61,100,1.73,ID,1727750837,2024-10-01 02:47:17
232,port lincoln,-34.7333,135.8667,16.99,65,10,4.92,AU,1727750838,2024-10-01 02:47:18
233,kalymnos,36.95,26.9833,19.74,68,20,4.12,GR,1727750840,2024-10-01 02:47:20
234,oyama,36.3,139.8,22.84,79,100,3.91,JP,1727750841,2024-10-01 02:47:21
